policy,profile,episodes,safe_success_rate,safe_ci95_low,safe_ci95_high,unsafe_crossing_rate,avg_wrong_detour,avg_observations,avg_replans,avg_path_length,avg_brier_score,avg_final_entropy,avg_information_gain_per_meter,avg_sensor_corruption_ms,avg_perception_ms,unresolved_gate_entries
purify-learned,depth-degradation,20,1.0,0.8388748419471806,1.0,0.0,0.0,4.0,3.0,10.345600000000008,0.011386122642335695,0.12283983436426112,0.35163477479727223,81.30259308069944,35.803520062789325,0
purify-learned,dynamic-change,20,1.0,0.8388748419471806,1.0,0.0,0.05,3.95,2.95,10.739200000000007,0.005938867916250589,0.06155491684287908,0.3680133284922052,82.5049634873867,71.64188367635012,0
purify-learned,segmentation-degradation,20,1.0,0.8388748419471806,1.0,0.0,0.0,4.05,3.05,10.436000000000007,0.016800312391234057,0.18202117455173653,0.3226510865649657,82.20816559702158,31.238718306124213,0
purify-learned,static-mixed,20,1.0,0.8388748419471806,1.0,0.0,0.0,3.9,2.9,10.427200000000008,0.005733426378813156,0.06699408703459767,0.35949251132006804,83.68953336447478,76.11792339891196,0
purify-learned,view-dependent-occlusion,20,1.0,0.8388748419471806,1.0,0.0,0.1,4.0,3.1,10.223200000000007,0.03292193882542587,0.185536613403878,0.3180968344703196,86.37367973953485,72.60975133433938,0
