file,profile,policy,seed,belief_ttl,max_observations,sensor_mode,device,learned_model,mission_success,safe_success,unsafe_crossing,wrong_detour,observation_count,replan_count,stale_count,path_length,viewpoint_travel,brier_score,final_entropy,information_gain_per_meter,unresolved_gate_entries,dynamic_intercepted,avg_sensor_corruption_ms,avg_perception_ms,elapsed_seconds,simulation_steps
purify-learned__depth-degradation__seed-20014.json,depth-degradation,purify-learned,20014,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,5,4,1,10.320000000000007,5.760000000000004,0.01333411263568727,0.03861632337606209,0.3156039280715641,0,False,64.81605274677277,8.660616755485535,3.048666102811694,695
purify-learned__depth-degradation__seed-20015.json,depth-degradation,purify-learned,20015,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,2,1,0,8.576000000000006,5.136000000000004,0.03314880247589236,0.3587559243110078,0.12485281847527098,0,False,149.479505777359,180.7348394393921,3.0832158979028463,556
purify-learned__depth-degradation__seed-20016.json,depth-degradation,purify-learned,20016,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,12.88000000000001,8.144000000000005,0.008393350464322607,0.09528625170726635,0.2071091402403141,0,False,81.5186827480793,10.756386205554008,3.185585891827941,845
purify-learned__depth-degradation__seed-20017.json,depth-degradation,purify-learned,20017,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,13.76000000000001,6.416000000000005,0.010175324127964203,0.07297923796222548,0.2906735787614107,0,False,75.73314517736435,10.87020942568779,3.2239590883255005,900
purify-learned__depth-degradation__seed-20018.json,depth-degradation,purify-learned,20018,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,9.296000000000006,5.248000000000004,0.0010119755913895365,0.01730829190585506,0.36802333553891464,0,False,80.8008022904396,10.991371780633926,3.1030047219246626,621
purify-learned__depth-degradation__seed-20019.json,depth-degradation,purify-learned,20019,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,5,4,1,13.76000000000001,6.416000000000005,0.07338286589600432,0.5283395178833292,0.13049773251526878,0,False,61.090315747261045,105.99296910762787,3.7204246539622545,910
purify-learned__dynamic-change__seed-20000.json,dynamic-change,purify-learned,20000,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,12.60800000000001,8.128000000000005,0.007989627438348853,0.052222259513795936,0.2391345908600554,0,True,86.13188171386719,11.859674990177155,3.00431664660573,828
purify-learned__dynamic-change__seed-20001.json,dynamic-change,purify-learned,20001,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,9.952000000000007,4.720000000000003,0.001331499811370699,0.0036444374533602243,0.38648323275393953,0,False,80.42135003209114,10.847607165575027,2.869163168594241,662
purify-learned__dynamic-change__seed-20002.json,dynamic-change,purify-learned,20002,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,10.400000000000007,4.064000000000003,0.0004571239626421194,0.01954495870369217,0.48684203981514285,0,True,74.74983996152878,143.73169593513012,3.376014156267047,690
purify-learned__dynamic-change__seed-20003.json,dynamic-change,purify-learned,20003,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,9.952000000000007,4.720000000000003,0.00226341982674215,0.0018439449833976783,0.38016848719284174,0,False,85.59319227933884,11.65812174975872,2.89348660223186,662
purify-learned__dynamic-change__seed-20004.json,dynamic-change,purify-learned,20004,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,11.440000000000008,4.704000000000003,0.015611435614837443,0.26858032430669987,0.3652231941511621,0,True,75.92686054110527,128.05965328216553,3.4423510748893023,755
purify-learned__dynamic-change__seed-20005.json,dynamic-change,purify-learned,20005,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,9.872000000000007,4.144000000000003,0.0021759057683673868,0.008409838671580742,0.44790204490682034,0,False,82.04474607110023,10.668322160840034,2.8622558526694775,657
purify-learned__dynamic-change__seed-20006.json,dynamic-change,purify-learned,20006,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,10.400000000000007,4.064000000000003,0.0031187565067084186,0.11274501387542031,0.4637258296797992,0,True,72.25957524776459,113.78535676002502,3.273127904161811,690
purify-learned__dynamic-change__seed-20007.json,dynamic-change,purify-learned,20007,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,10.384000000000007,5.104000000000004,0.0015433992144164833,0.0025947001679976034,0.3826083420809674,0,False,73.48252180218697,127.72976569831371,3.2792151980102062,689
purify-learned__dynamic-change__seed-20008.json,dynamic-change,purify-learned,20008,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,10.448000000000008,4.624000000000003,0.0036576836100718833,0.07925996407215374,0.3996637895283915,0,True,83.05542582273483,10.545284390449524,2.882405297830701,693
purify-learned__dynamic-change__seed-20009.json,dynamic-change,purify-learned,20009,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,9.872000000000007,4.144000000000003,0.0010662099799094904,0.003384840404003483,0.4713637669344897,0,False,80.51509994268417,10.777964532375336,2.891427841037512,657
purify-learned__dynamic-change__seed-20010.json,dynamic-change,purify-learned,20010,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,11.120000000000008,4.816000000000003,0.0024551069760323824,0.1638535123604531,0.37958763586268907,0,True,79.76809692382812,10.746534660458565,3.0627111829817295,735
purify-learned__dynamic-change__seed-20011.json,dynamic-change,purify-learned,20011,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,True,2,1,0,9.728000000000007,6.304000000000005,0.03112813159826495,0.10408605056170449,0.14211832954287673,0,False,163.64386296272278,262.750244140625,3.248811351135373,628
purify-learned__dynamic-change__seed-20012.json,dynamic-change,purify-learned,20012,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,10.400000000000007,4.064000000000003,0.0015217723090637698,0.05971003888783107,0.4732124747257922,0,True,76.4818642437458,127.22668769955635,3.4835943039506674,690
purify-learned__dynamic-change__seed-20013.json,dynamic-change,purify-learned,20013,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,10.384000000000007,5.104000000000004,0.0002848378388146813,0.001231506520152615,0.3886816737352652,0,False,73.74469181895256,10.960535779595375,2.924413988366723,689
purify-learned__dynamic-change__seed-20014.json,dynamic-change,purify-learned,20014,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,5,4,1,12.68800000000001,6.320000000000005,0.008649419200955185,0.27950641386564123,0.2676455311725787,0,True,68.79668533802032,145.42676581144332,3.9473635349422693,843
purify-learned__dynamic-change__seed-20015.json,dynamic-change,purify-learned,20015,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,13.74400000000001,7.936000000000005,0.011840924350536082,0.002563101827853594,0.20569789783173614,0,False,73.92402568459511,130.11273208260536,3.5799526534974575,899
purify-learned__dynamic-change__seed-20016.json,dynamic-change,purify-learned,20016,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,10.176000000000007,5.184000000000004,0.0034195879724680683,0.024288031870746116,0.37780029762800743,0,True,86.61746421456337,11.03984047472477,3.1118760760873556,676
purify-learned__dynamic-change__seed-20017.json,dynamic-change,purify-learned,20017,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,10.384000000000007,5.104000000000004,0.00035822976659442385,0.0016254911951833855,0.3869409395097935,0,False,76.25736266374588,10.58095271885395,2.861970903351903,689
purify-learned__dynamic-change__seed-20018.json,dynamic-change,purify-learned,20018,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,10.448000000000008,4.624000000000003,0.000571376766988458,0.03928683675656529,0.42053414217843377,0,True,81.39262989163399,11.89969977736473,3.1314059887081385,693
purify-learned__dynamic-change__seed-20019.json,dynamic-change,purify-learned,20019,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,10.384000000000007,5.104000000000004,0.019332909811878855,0.0027170708593490063,0.29493232975332156,0,False,75.29209259152412,132.43023371696472,3.346725767478347,689
purify-learned__segmentation-degradation__seed-20000.json,segmentation-degradation,purify-learned,20000,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,12.88000000000001,8.144000000000005,0.005935532518684188,0.03200501829446788,0.2086375901872879,0,False,81.67744189500809,10.744213804602623,3.142628740519285,845
purify-learned__segmentation-degradation__seed-20001.json,segmentation-degradation,purify-learned,20001,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,10.144000000000007,4.144000000000003,0.012710243282115724,0.3687888750410189,0.357305276382841,0,False,90.78986829519272,10.735519662499428,2.9695942271500826,674
purify-learned__segmentation-degradation__seed-20002.json,segmentation-degradation,purify-learned,20002,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,8.336000000000006,4.064000000000003,0.002414763352737058,0.08415783212872815,0.46538984470988515,0,False,79.35039365291595,10.794126123189926,2.7566164787858725,561
purify-learned__segmentation-degradation__seed-20003.json,segmentation-degradation,purify-learned,20003,60,4,camera-rgbd-corrupted,cuda:0,outputs/v3-nbv-dataset-83a969c/nbv-model.pt,True,True,False,False,4,3,1,10.224000000000007,4.720000000000003,0.007339950806187391,0.08644320490087648,0.32635023556264403,0,False,85.448975533247,10.935549437999725,3.239243684336543,679
