policy,profile,episodes,safe_success_rate,safe_ci95_low,safe_ci95_high,unsafe_crossing_rate,avg_wrong_detour,avg_observations,avg_replans,avg_path_length,avg_brier_score,avg_final_entropy,avg_information_gain_per_meter,avg_sensor_corruption_ms,avg_perception_ms,unresolved_gate_entries
fixed-multiview,depth-degradation,20,1.0,0.8388748419471806,1.0,0.0,0.0,3.0,0.0,10.832800000000008,0.013194859564929298,0.23208232315353888,0.12060444814024869,104.69370645483335,36.76699851850669,0
fixed-multiview,dynamic-change,20,0.5,0.2992980081982123,0.7007019918017877,0.5,0.5,3.0,0.0,11.122400000000008,0.00758090211738993,0.13643345156604142,0.12974140705926543,114.26772144635518,50.17475423912207,0
fixed-multiview,segmentation-degradation,20,1.0,0.8388748419471806,1.0,0.0,0.0,3.0,0.0,10.832800000000008,0.018425000589181898,0.31456122093799377,0.10988579468245827,102.85077679157257,34.65049414535363,0
fixed-multiview,static-mixed,20,1.0,0.8388748419471806,1.0,0.0,0.0,3.0,0.0,10.999200000000007,0.0073566523965028895,0.12245094524601821,0.13554008136104698,105.16789171497028,58.699869411687054,0
fixed-multiview,view-dependent-occlusion,20,1.0,0.8388748419471806,1.0,0.0,0.1,3.0,0.0,10.412800000000008,0.041267612919480195,0.3913792304724581,0.10129645174890411,106.79511324167251,71.17006376286348,0
purify-fixed,depth-degradation,20,1.0,0.8388748419471806,1.0,0.0,0.0,4.0,1.0,10.243200000000007,0.010892382570448228,0.1391428356574505,0.4025557964863526,87.79360145777464,33.66907711401582,0
purify-fixed,dynamic-change,20,1.0,0.8388748419471806,1.0,0.0,0.0,4.0,1.0,10.158400000000007,0.005362652630408122,0.05754086335472477,0.426499099283729,82.90539026111364,61.29758202806115,0
purify-fixed,segmentation-degradation,20,1.0,0.8388748419471806,1.0,0.0,0.0,4.0,1.0,10.243200000000007,0.014565763714777847,0.19781246725469306,0.37791184689745866,84.6041467487812,32.51131116077304,0
purify-fixed,static-mixed,20,1.0,0.8388748419471806,1.0,0.0,0.0,3.9,0.95,9.764800000000006,0.0048511731155214035,0.06896974383758879,0.4394566774514481,81.3940211713314,64.46980272680521,0
purify-fixed,view-dependent-occlusion,20,1.0,0.8388748419471806,1.0,0.0,0.1,3.9,0.85,9.919200000000007,0.034052676784282115,0.2138884927316919,0.34530136769459735,83.72913739830256,59.047502824664114,0
purify-information-gain,depth-degradation,20,1.0,0.8388748419471806,1.0,0.0,0.0,4.0,3.0,9.762400000000007,0.009859344585213965,0.122760606018702,0.39986436829545646,80.63829871118068,32.64022487699985,0
purify-information-gain,dynamic-change,20,1.0,0.8388748419471806,1.0,0.0,0.0,4.05,3.05,10.608000000000008,0.0056017889836243815,0.07138093057346323,0.38938981959580526,78.8853085759282,55.84470935240388,0
purify-information-gain,segmentation-degradation,20,1.0,0.8388748419471806,1.0,0.0,0.0,4.05,3.05,10.047200000000007,0.014629814650754774,0.16795724604094361,0.3659686942246886,80.39182384043932,26.841166739016774,0
purify-information-gain,static-mixed,20,1.0,0.8388748419471806,1.0,0.0,0.0,4.05,3.05,10.175200000000007,0.0046413502482286016,0.05911740134797674,0.38998130462546515,79.63786940217018,72.92148005977273,0
purify-information-gain,view-dependent-occlusion,20,1.0,0.8388748419471806,1.0,0.0,0.1,3.95,3.05,10.598400000000009,0.03309928447141028,0.1870395335788407,0.31879248862138054,79.96697773456575,69.68838935762645,0
purify-random,depth-degradation,20,1.0,0.8388748419471806,1.0,0.0,0.35,3.7,3.15,11.926399999999992,0.030749825382027245,0.45764661563671305,0.1675473593105836,100.82338054408629,37.186789206266404,0
purify-random,dynamic-change,20,1.0,0.8388748419471806,1.0,0.0,0.35,3.8,3.3,12.504799999999964,0.0204071026589075,0.35301018235464837,0.2017666085957333,90.41858532895644,50.77320383196076,0
purify-random,segmentation-degradation,20,1.0,0.8388748419471806,1.0,0.0,0.35,3.8,3.25,12.259199999999993,0.040131473066677865,0.5334948271678773,0.1425107626299106,89.3355275028944,35.24200110266606,0
purify-random,static-mixed,20,1.0,0.8388748419471806,1.0,0.0,0.25,3.6,2.95,11.919199999999982,0.016710021933745274,0.2827823770145948,0.19246867017797445,92.88057080686092,69.60534624770284,0
purify-random,view-dependent-occlusion,20,1.0,0.8388748419471806,1.0,0.0,0.45,3.75,3.5,12.866399999999974,0.0599268238153306,0.616853802263491,0.11315099631626832,95.90736397037904,58.695157200147705,0
single-shot,depth-degradation,20,1.0,0.8388748419471806,1.0,0.0,0.0,1.0,0.0,7.020800000000006,0.01951377270716592,0.4467498313476823,0.22373152114212552,301.0265289306641,96.03053789138794,0
single-shot,dynamic-change,20,0.5,0.2992980081982123,0.7007019918017877,0.5,0.5,1.0,0.0,7.020800000000006,0.011468930002831815,0.33677186572514983,0.26643175272488706,298.40010833740234,112.01462955474854,0
single-shot,segmentation-degradation,20,1.0,0.8388748419471806,1.0,0.0,0.0,1.0,0.0,7.020800000000006,0.026160739135396054,0.5379517934060726,0.1894219955006494,307.9061080932617,102.0967453956604,0
single-shot,static-mixed,20,1.0,0.8388748419471806,1.0,0.0,0.0,1.0,0.0,6.829600000000005,0.009593158300737587,0.26862728466462404,0.29626447946606127,292.97926330566406,154.42115573883058,0
single-shot,view-dependent-occlusion,20,1.0,0.8388748419471806,1.0,0.0,0.1,1.0,0.0,7.072000000000005,0.04363597911272079,0.5262607154951997,0.18333624095110815,295.8713897705078,172.95762004852295,0
