file,scenario,policy,seed,noise_profile,noise_rate,mission_success,safe_success,unsafe_crossing,wrong_detour,observation_count,path_length,elapsed_seconds,simulation_steps
majority-vote__blocked__noise-0.1__seed-18.json,blocked,majority-vote,18,random,0.1,True,True,False,False,3,5.135999085381627,1.0423517785966396,381
majority-vote__blocked__noise-0.1__seed-19.json,blocked,majority-vote,19,random,0.1,True,True,False,False,3,5.135999085381627,0.9993698708713055,381
majority-vote__blocked__noise-0.2__seed-00.json,blocked,majority-vote,0,random,0.2,True,True,False,False,3,5.135999085381627,0.9699472300708294,381
majority-vote__blocked__noise-0.2__seed-01.json,blocked,majority-vote,1,random,0.2,True,True,False,False,3,5.135999085381627,1.0937110595405102,381
majority-vote__blocked__noise-0.2__seed-02.json,blocked,majority-vote,2,random,0.2,True,True,False,False,3,5.135999085381627,1.0642653796821833,381
majority-vote__blocked__noise-0.2__seed-03.json,blocked,majority-vote,3,random,0.2,True,True,False,False,3,5.135999085381627,1.0880214925855398,381
majority-vote__blocked__noise-0.2__seed-04.json,blocked,majority-vote,4,random,0.2,True,True,False,False,3,5.135999085381627,1.0993474163115025,381
majority-vote__blocked__noise-0.2__seed-05.json,blocked,majority-vote,5,random,0.2,True,True,False,False,3,5.135999085381627,1.18402736261487,381
majority-vote__blocked__noise-0.2__seed-06.json,blocked,majority-vote,6,random,0.2,True,True,False,False,3,5.135999085381627,1.1293549723923206,381
majority-vote__blocked__noise-0.2__seed-07.json,blocked,majority-vote,7,random,0.2,True,True,False,False,3,5.135999085381627,1.1282621547579765,381
majority-vote__blocked__noise-0.2__seed-08.json,blocked,majority-vote,8,random,0.2,True,True,False,False,3,5.135999085381627,1.107491509988904,381
majority-vote__blocked__noise-0.2__seed-09.json,blocked,majority-vote,9,random,0.2,True,True,False,False,3,5.135999085381627,1.061465123668313,381
majority-vote__blocked__noise-0.2__seed-10.json,blocked,majority-vote,10,random,0.2,True,True,False,False,3,5.135999085381627,1.2121982630342245,381
majority-vote__blocked__noise-0.2__seed-11.json,blocked,majority-vote,11,random,0.2,True,True,False,False,3,5.135999085381627,0.9937100522220135,381
majority-vote__blocked__noise-0.2__seed-12.json,blocked,majority-vote,12,random,0.2,True,True,False,False,3,5.135999085381627,1.3944688439369202,381
majority-vote__blocked__noise-0.2__seed-13.json,blocked,majority-vote,13,random,0.2,True,True,False,False,3,5.135999085381627,1.227441480383277,381
majority-vote__blocked__noise-0.2__seed-14.json,blocked,majority-vote,14,random,0.2,True,True,False,False,3,5.135999085381627,1.4021837990731,381
majority-vote__blocked__noise-0.2__seed-15.json,blocked,majority-vote,15,random,0.2,True,True,False,False,3,5.135999085381627,1.1941217351704836,381
majority-vote__blocked__noise-0.2__seed-16.json,blocked,majority-vote,16,random,0.2,True,True,False,False,3,5.135999085381627,1.2628430929034948,381
majority-vote__blocked__noise-0.2__seed-17.json,blocked,majority-vote,17,random,0.2,True,True,False,False,3,5.135999085381627,1.2575915567576885,381
majority-vote__blocked__noise-0.2__seed-18.json,blocked,majority-vote,18,random,0.2,True,True,False,False,3,5.135999085381627,1.24831766448915,381
majority-vote__blocked__noise-0.2__seed-19.json,blocked,majority-vote,19,random,0.2,True,True,False,False,3,5.135999085381627,1.2869618348777294,381
majority-vote__blocked__noise-0.3__seed-00.json,blocked,majority-vote,0,random,0.3,True,True,False,False,3,5.135999085381627,1.4959001448005438,381
majority-vote__blocked__noise-0.3__seed-01.json,blocked,majority-vote,1,random,0.3,True,True,False,False,3,5.135999085381627,1.3764554411172867,381
majority-vote__blocked__noise-0.3__seed-02.json,blocked,majority-vote,2,random,0.3,True,True,False,False,3,5.135999085381627,1.4986587893217802,381
majority-vote__blocked__noise-0.3__seed-03.json,blocked,majority-vote,3,random,0.3,True,True,False,False,3,5.135999085381627,1.3228070009499788,381
majority-vote__blocked__noise-0.3__seed-04.json,blocked,majority-vote,4,random,0.3,True,False,True,False,3,4.640001406893134,1.2187227867543697,350
