profile,policy_a,policy_b,metric,higher_is_better,shared_seed_count,eligible_pairs,mean_a,mean_b,mean_difference_b_minus_a,a_better,ties,b_better
evidence-echo,naive-majority,purify-active,unsafe_crossing,False,19,19,0.0,0.0,0.0,0,19,0
evidence-echo,naive-majority,purify-active,safe_success,True,19,19,0.3684210526315789,0.42105263157894735,0.05263157894736842,7,4,8
evidence-echo,naive-majority,purify-active,wrong_detour,False,19,19,0.47368421052631576,0.47368421052631576,0.0,0,19,0
evidence-echo,naive-majority,purify-active,observation_count,False,19,19,1.0,2.0,1.0,19,0,0
evidence-echo,naive-majority,purify-active,path_length,False,19,19,4.2186655043333365,5.860883993086486,1.6422184887531515,12,0,7
evidence-echo,naive-majority,purify-passive,unsafe_crossing,False,19,19,0.0,0.0,0.0,0,19,0
evidence-echo,naive-majority,purify-passive,safe_success,True,19,19,0.3684210526315789,0.3684210526315789,0.0,0,19,0
evidence-echo,naive-majority,purify-passive,wrong_detour,False,19,19,0.47368421052631576,0.47368421052631576,0.0,0,19,0
evidence-echo,naive-majority,purify-passive,observation_count,False,19,19,1.0,1.0,0.0,0,19,0
evidence-echo,naive-majority,purify-passive,path_length,False,19,19,4.2186655043333365,4.2186655043333365,0.0,0,19,0
evidence-echo,naive-majority,v3-logodds,unsafe_crossing,False,19,19,0.0,0.0,0.0,0,19,0
evidence-echo,naive-majority,v3-logodds,safe_success,True,19,19,0.3684210526315789,0.3684210526315789,0.0,0,19,0
evidence-echo,naive-majority,v3-logodds,wrong_detour,False,19,19,0.47368421052631576,0.47368421052631576,0.0,0,19,0
evidence-echo,naive-majority,v3-logodds,observation_count,False,19,19,1.0,1.0,0.0,0,19,0
evidence-echo,naive-majority,v3-logodds,path_length,False,19,19,4.2186655043333365,4.2186655043333365,0.0,0,19,0
evidence-echo,purify-active,purify-passive,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
evidence-echo,purify-active,purify-passive,safe_success,True,20,20,0.4,0.4,0.0,8,4,8
evidence-echo,purify-active,purify-passive,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
evidence-echo,purify-active,purify-passive,echo_rejection_success,True,20,20,1.0,1.0,0.0,0,20,0
evidence-echo,purify-active,purify-passive,observation_count,False,20,20,2.05,1.0,-1.05,0,0,20
evidence-echo,purify-active,purify-passive,path_length,False,20,20,5.8505493582944785,4.376784280481677,-1.4737650778128035,8,0,12
evidence-echo,purify-active,v3-logodds,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
evidence-echo,purify-active,v3-logodds,safe_success,True,20,20,0.4,0.4,0.0,8,4,8
evidence-echo,purify-active,v3-logodds,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
evidence-echo,purify-active,v3-logodds,observation_count,False,20,20,2.05,1.0,-1.05,0,0,20
evidence-echo,purify-active,v3-logodds,path_length,False,20,20,5.8505493582944785,4.376784280481677,-1.4737650778128035,8,0,12
evidence-echo,purify-passive,v3-logodds,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
evidence-echo,purify-passive,v3-logodds,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
evidence-echo,purify-passive,v3-logodds,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
evidence-echo,purify-passive,v3-logodds,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
evidence-echo,purify-passive,v3-logodds,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
independent-noise,conformal-only,lineage-only,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
independent-noise,conformal-only,lineage-only,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
independent-noise,conformal-only,lineage-only,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
independent-noise,conformal-only,lineage-only,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
independent-noise,conformal-only,lineage-only,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
independent-noise,conformal-only,naive-majority,unsafe_crossing,False,19,19,0.0,0.0,0.0,0,19,0
independent-noise,conformal-only,naive-majority,safe_success,True,19,19,0.3684210526315789,0.3684210526315789,0.0,0,19,0
independent-noise,conformal-only,naive-majority,wrong_detour,False,19,19,0.47368421052631576,0.47368421052631576,0.0,0,19,0
independent-noise,conformal-only,naive-majority,observation_count,False,19,19,1.0,1.0,0.0,0,19,0
independent-noise,conformal-only,naive-majority,path_length,False,19,19,4.2186655043333365,4.2186655043333365,0.0,0,19,0
independent-noise,conformal-only,purify-active,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
independent-noise,conformal-only,purify-active,safe_success,True,20,20,0.4,0.4,0.0,8,4,8
independent-noise,conformal-only,purify-active,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
independent-noise,conformal-only,purify-active,observation_count,False,20,20,1.0,2.05,1.05,20,0,0
independent-noise,conformal-only,purify-active,path_length,False,20,20,4.376784280481677,5.8505493582944785,1.4737650778128035,12,0,8
independent-noise,conformal-only,purify-passive,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
independent-noise,conformal-only,purify-passive,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
independent-noise,conformal-only,purify-passive,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
independent-noise,conformal-only,purify-passive,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
independent-noise,conformal-only,purify-passive,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
independent-noise,conformal-only,v3-logodds,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
independent-noise,conformal-only,v3-logodds,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
independent-noise,conformal-only,v3-logodds,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
independent-noise,conformal-only,v3-logodds,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
independent-noise,conformal-only,v3-logodds,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
independent-noise,lineage-only,naive-majority,unsafe_crossing,False,19,19,0.0,0.0,0.0,0,19,0
independent-noise,lineage-only,naive-majority,safe_success,True,19,19,0.3684210526315789,0.3684210526315789,0.0,0,19,0
independent-noise,lineage-only,naive-majority,wrong_detour,False,19,19,0.47368421052631576,0.47368421052631576,0.0,0,19,0
independent-noise,lineage-only,naive-majority,observation_count,False,19,19,1.0,1.0,0.0,0,19,0
independent-noise,lineage-only,naive-majority,path_length,False,19,19,4.2186655043333365,4.2186655043333365,0.0,0,19,0
independent-noise,lineage-only,purify-active,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
independent-noise,lineage-only,purify-active,safe_success,True,20,20,0.4,0.4,0.0,8,4,8
independent-noise,lineage-only,purify-active,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
independent-noise,lineage-only,purify-active,observation_count,False,20,20,1.0,2.05,1.05,20,0,0
independent-noise,lineage-only,purify-active,path_length,False,20,20,4.376784280481677,5.8505493582944785,1.4737650778128035,12,0,8
independent-noise,lineage-only,purify-passive,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
independent-noise,lineage-only,purify-passive,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
independent-noise,lineage-only,purify-passive,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
independent-noise,lineage-only,purify-passive,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
independent-noise,lineage-only,purify-passive,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
independent-noise,lineage-only,v3-logodds,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
independent-noise,lineage-only,v3-logodds,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
independent-noise,lineage-only,v3-logodds,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
independent-noise,lineage-only,v3-logodds,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
independent-noise,lineage-only,v3-logodds,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
independent-noise,naive-majority,purify-active,unsafe_crossing,False,19,19,0.0,0.0,0.0,0,19,0
independent-noise,naive-majority,purify-active,safe_success,True,19,19,0.3684210526315789,0.42105263157894735,0.05263157894736842,7,4,8
independent-noise,naive-majority,purify-active,wrong_detour,False,19,19,0.47368421052631576,0.47368421052631576,0.0,0,19,0
independent-noise,naive-majority,purify-active,observation_count,False,19,19,1.0,2.0,1.0,19,0,0
independent-noise,naive-majority,purify-active,path_length,False,19,19,4.2186655043333365,5.860883993086486,1.6422184887531515,12,0,7
independent-noise,naive-majority,purify-passive,unsafe_crossing,False,19,19,0.0,0.0,0.0,0,19,0
independent-noise,naive-majority,purify-passive,safe_success,True,19,19,0.3684210526315789,0.3684210526315789,0.0,0,19,0
independent-noise,naive-majority,purify-passive,wrong_detour,False,19,19,0.47368421052631576,0.47368421052631576,0.0,0,19,0
independent-noise,naive-majority,purify-passive,observation_count,False,19,19,1.0,1.0,0.0,0,19,0
independent-noise,naive-majority,purify-passive,path_length,False,19,19,4.2186655043333365,4.2186655043333365,0.0,0,19,0
independent-noise,naive-majority,v3-logodds,unsafe_crossing,False,19,19,0.0,0.0,0.0,0,19,0
independent-noise,naive-majority,v3-logodds,safe_success,True,19,19,0.3684210526315789,0.3684210526315789,0.0,0,19,0
independent-noise,naive-majority,v3-logodds,wrong_detour,False,19,19,0.47368421052631576,0.47368421052631576,0.0,0,19,0
independent-noise,naive-majority,v3-logodds,observation_count,False,19,19,1.0,1.0,0.0,0,19,0
independent-noise,naive-majority,v3-logodds,path_length,False,19,19,4.2186655043333365,4.2186655043333365,0.0,0,19,0
independent-noise,purify-active,purify-passive,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
independent-noise,purify-active,purify-passive,safe_success,True,20,20,0.4,0.4,0.0,8,4,8
independent-noise,purify-active,purify-passive,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
independent-noise,purify-active,purify-passive,observation_count,False,20,20,2.05,1.0,-1.05,0,0,20
independent-noise,purify-active,purify-passive,path_length,False,20,20,5.8505493582944785,4.376784280481677,-1.4737650778128035,8,0,12
independent-noise,purify-active,v3-logodds,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
independent-noise,purify-active,v3-logodds,safe_success,True,20,20,0.4,0.4,0.0,8,4,8
independent-noise,purify-active,v3-logodds,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
independent-noise,purify-active,v3-logodds,observation_count,False,20,20,2.05,1.0,-1.05,0,0,20
independent-noise,purify-active,v3-logodds,path_length,False,20,20,5.8505493582944785,4.376784280481677,-1.4737650778128035,8,0,12
independent-noise,purify-passive,v3-logodds,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
independent-noise,purify-passive,v3-logodds,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
independent-noise,purify-passive,v3-logodds,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
independent-noise,purify-passive,v3-logodds,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
independent-noise,purify-passive,v3-logodds,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
ood-severity,conformal-only,lineage-only,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
ood-severity,conformal-only,lineage-only,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
ood-severity,conformal-only,lineage-only,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
ood-severity,conformal-only,lineage-only,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
ood-severity,conformal-only,lineage-only,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
ood-severity,conformal-only,naive-majority,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
ood-severity,conformal-only,naive-majority,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
ood-severity,conformal-only,naive-majority,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
ood-severity,conformal-only,naive-majority,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
ood-severity,conformal-only,naive-majority,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
ood-severity,conformal-only,purify-active,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
ood-severity,conformal-only,purify-active,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
ood-severity,conformal-only,purify-active,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
ood-severity,conformal-only,purify-active,observation_count,False,20,20,1.0,4.0,3.0,20,0,0
ood-severity,conformal-only,purify-active,path_length,False,20,20,4.376784280481677,4.7739086796441965,0.3971243991625218,13,7,0
ood-severity,conformal-only,purify-passive,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
ood-severity,conformal-only,purify-passive,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
ood-severity,conformal-only,purify-passive,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
ood-severity,conformal-only,purify-passive,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
ood-severity,conformal-only,purify-passive,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
ood-severity,conformal-only,v3-logodds,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
ood-severity,conformal-only,v3-logodds,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
ood-severity,conformal-only,v3-logodds,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
ood-severity,conformal-only,v3-logodds,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
ood-severity,conformal-only,v3-logodds,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
ood-severity,lineage-only,naive-majority,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
ood-severity,lineage-only,naive-majority,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
ood-severity,lineage-only,naive-majority,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
ood-severity,lineage-only,naive-majority,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
ood-severity,lineage-only,naive-majority,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
ood-severity,lineage-only,purify-active,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
ood-severity,lineage-only,purify-active,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
ood-severity,lineage-only,purify-active,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
ood-severity,lineage-only,purify-active,observation_count,False,20,20,1.0,4.0,3.0,20,0,0
ood-severity,lineage-only,purify-active,path_length,False,20,20,4.376784280481677,4.7739086796441965,0.3971243991625218,13,7,0
ood-severity,lineage-only,purify-passive,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
ood-severity,lineage-only,purify-passive,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
ood-severity,lineage-only,purify-passive,wrong_detour,False,20,20,0.5,0.5,0.0,0,20,0
ood-severity,lineage-only,purify-passive,observation_count,False,20,20,1.0,1.0,0.0,0,20,0
ood-severity,lineage-only,purify-passive,path_length,False,20,20,4.376784280481677,4.376784280481677,0.0,0,20,0
ood-severity,lineage-only,v3-logodds,unsafe_crossing,False,20,20,0.0,0.0,0.0,0,20,0
ood-severity,lineage-only,v3-logodds,safe_success,True,20,20,0.4,0.4,0.0,0,20,0
