policy,profile,episodes,completed_episodes,failed_episodes,unsafe_crossing_count,unsafe_crossing_denominator,unsafe_crossing_rate,unsafe_crossing_wilson_ci95_low,unsafe_crossing_wilson_ci95_high,safe_success_count,safe_success_denominator,safe_success_rate,safe_success_wilson_ci95_low,safe_success_wilson_ci95_high,wrong_detour_count,wrong_detour_denominator,wrong_detour_rate,wrong_detour_wilson_ci95_low,wrong_detour_wilson_ci95_high,contract_repair_success_count,contract_repair_success_denominator,contract_repair_success_rate,contract_repair_success_wilson_ci95_low,contract_repair_success_wilson_ci95_high,plan_invalidation_correct_count,plan_invalidation_correct_denominator,plan_invalidation_correct_rate,plan_invalidation_correct_wilson_ci95_low,plan_invalidation_correct_wilson_ci95_high,echo_rejection_success_count,echo_rejection_success_denominator,echo_rejection_success_rate,echo_rejection_success_wilson_ci95_low,echo_rejection_success_wilson_ci95_high,calibration_samples,brier_score,ece_10_bin,conformal_samples,conformal_covered_count,conformal_coverage,conformal_coverage_wilson_ci95_low,conformal_coverage_wilson_ci95_high,conformal_miscoverage,conformal_miscoverage_wilson_ci95_low,conformal_miscoverage_wilson_ci95_high,avg_observation_count,avg_replan_count,avg_path_length
lineage-only,independent-noise,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.281372915192002,0.2531595955435193,20,19,0.95,0.763868806553258,0.9911185511992047,0.050000000000000044,0.008881448800795333,0.23613119344674205,1.0,0.0,4.376784280481677
lineage-only,ood-severity,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.15060184697065224,0.3625330847985849,20,20,1.0,0.8388748419471806,1.0,0.0,0.0,0.16112515805281935,1.0,0.0,4.376784280481677
lineage-only,pose-calibration-drift,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.376784280481677
lineage-only,shared-occlusion,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.25,0.0,20,20,1.0,0.8388748419471806,1.0,0.0,0.0,0.16112515805281935,1.0,0.0,4.376784280481677
lineage-only,structured-depth-dropout,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.14240236568027073,0.34283919270833335,20,20,1.0,0.8388748419471806,1.0,0.0,0.0,0.16112515805281935,1.0,0.0,4.376784280481677
lineage-only,time-skew,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.2828237894864883,0.2557364622826396,20,19,0.95,0.763868806553258,0.9911185511992047,0.050000000000000044,0.008881448800795333,0.23613119344674205,1.0,0.0,4.376784280481677
naive-majority,dynamic-change,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.376784280481677
naive-majority,evidence-echo,20,19,1,0,19,0.0,0.0,0.16817922405261626,7,19,0.3684210526315789,0.19149512745135072,0.5896046683519693,9,19,0.47368421052631576,0.2732980516117956,0.6829219075488682,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.2186655043333365
naive-majority,independent-noise,20,19,1,0,19,0.0,0.0,0.16817922405261626,7,19,0.3684210526315789,0.19149512745135072,0.5896046683519693,9,19,0.47368421052631576,0.2732980516117956,0.6829219075488682,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.2186655043333365
naive-majority,ood-severity,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.376784280481677
naive-majority,pose-calibration-drift,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.376784280481677
naive-majority,shared-occlusion,20,19,1,0,19,0.0,0.0,0.16817922405261626,7,19,0.3684210526315789,0.19149512745135072,0.5896046683519693,9,19,0.47368421052631576,0.2732980516117956,0.6829219075488682,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.2186655043333365
naive-majority,structured-depth-dropout,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.376784280481677
naive-majority,time-skew,20,19,1,0,19,0.0,0.0,0.16817922405261626,7,19,0.3684210526315789,0.19149512745135072,0.5896046683519693,9,19,0.47368421052631576,0.2732980516117956,0.6829219075488682,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.2186655043333365
purify-active,dynamic-change,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,20,20,1.0,0.8388748419471806,1.0,0,0,,,,0,0,,,,20,0.3892440604283414,0.39411687949900026,20,10,0.5,0.2992980081982123,0.7007019918017877,0.5,0.2992980081982123,0.7007019918017877,2.0,0.0,5.798018653883386
purify-active,evidence-echo,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,20,20,1.0,0.8388748419471806,1.0,0,0,,,,20,20,1.0,0.8388748419471806,1.0,20,0.3724318447029095,0.38547922432799075,20,10,0.5,0.2992980081982123,0.7007019918017877,0.5,0.2992980081982123,0.7007019918017877,2.05,0.05,5.8505493582944785
purify-active,independent-noise,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,20,20,1.0,0.8388748419471806,1.0,0,0,,,,0,0,,,,20,0.36940931269170285,0.38276566257176037,20,10,0.5,0.2992980081982123,0.7007019918017877,0.5,0.2992980081982123,0.7007019918017877,2.05,0.05,5.8505493582944785
purify-active,ood-severity,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,20,0.0,0.0,0.16112515805281938,0,0,,,,0,0,,,,20,0.1289563531491166,0.27990533464366657,20,20,1.0,0.8388748419471806,1.0,0.0,0.0,0.16112515805281935,4.0,1.25,4.7739086796441965
purify-active,pose-calibration-drift,20,20,0,0,20,0.0,0.0,0.16112515805281938,7,20,0.35,0.18119182410108206,0.5671457233147638,10,20,0.5,0.2992980081982123,0.7007019918017877,19,20,0.95,0.763868806553258,0.9911185511992047,0,0,,,,0,0,,,,20,0.36458495504392835,0.3813296146450505,20,11,0.55,0.34208534245034233,0.7418021417443759,0.44999999999999996,0.25819785825562414,0.6579146575496577,3.05,0.1,5.6045481287202135
purify-active,shared-occlusion,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,20,0.0,0.0,0.16112515805281938,0,0,,,,0,0,,,,20,0.3498525368880233,0.3751678166080554,20,16,0.8,0.5839825677481064,0.919342337420202,0.19999999999999996,0.080657662579798,0.4160174322518936,4.0,0.45,4.585808116352437
purify-active,structured-depth-dropout,20,20,0,0,20,0.0,0.0,0.16112515805281938,9,20,0.45,0.2581978582556243,0.6579146575496577,10,20,0.5,0.2992980081982123,0.7007019918017877,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,20,0.24632582764538197,0.36984353884464555,20,16,0.8,0.5839825677481064,0.919342337420202,0.19999999999999996,0.080657662579798,0.4160174322518936,3.0,0.35,5.421733321653584
purify-active,time-skew,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,20,20,1.0,0.8388748419471806,1.0,0,0,,,,0,0,,,,20,0.3718781688919509,0.3840099534127702,20,10,0.5,0.2992980081982123,0.7007019918017877,0.5,0.2992980081982123,0.7007019918017877,2.05,0.05,5.8505493582944785
purify-passive,dynamic-change,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.29313788221383186,0.27948359030065406,20,19,0.95,0.763868806553258,0.9911185511992047,0.050000000000000044,0.008881448800795333,0.23613119344674205,1.0,0.0,4.376784280481677
purify-passive,evidence-echo,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,20,20,1.0,0.8388748419471806,1.0,20,0.289212398339738,0.24426535050496256,20,19,0.95,0.763868806553258,0.9911185511992047,0.050000000000000044,0.008881448800795333,0.23613119344674205,1.0,0.0,4.376784280481677
purify-passive,independent-noise,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.28717109297870624,0.24139444227667836,20,19,0.95,0.763868806553258,0.9911185511992047,0.050000000000000044,0.008881448800795333,0.23613119344674205,1.0,0.0,4.376784280481677
purify-passive,ood-severity,20,20,0,0,20,0.0,0.0,0.16112515805281938,8,20,0.4,0.21880653237281705,0.6134184992377469,10,20,0.5,0.2992980081982123,0.7007019918017877,0,0,,,,0,0,,,,0,0,,,,20,0.15464306735857752,0.3699953435006441,20,20,1.0,0.8388748419471806,1.0,0.0,0.0,0.16112515805281935,1.0,0.0,4.376784280481677
